video_id,caption,caption_len_chars,caption_len_words,mean_flow,NOTTA_psnr,NOTTA_ssim,NOTTA_lpips,ADA_psnr,ADA_ssim,ADA_lpips,ADA_NOPROMPT_psnr,ADA_NOPROMPT_ssim,ADA_NOPROMPT_lpips,LORA_R8_TTA_psnr,LORA_R8_TTA_ssim,LORA_R8_TTA_lpips,LORA_R8_TTA_NOPROMPT_psnr,LORA_R8_TTA_NOPROMPT_ssim,LORA_R8_TTA_NOPROMPT_lpips,TL_BARE_R2_psnr,TL_BARE_R2_ssim,TL_BARE_R2_lpips,TL_TIED_R2_psnr,TL_TIED_R2_ssim,TL_TIED_R2_lpips,ADA_dpsnr,ADA_dssim,ADA_dlpips,ADA_NOPROMPT_dpsnr,ADA_NOPROMPT_dssim,ADA_NOPROMPT_dlpips,LORA_R8_TTA_dpsnr,LORA_R8_TTA_dssim,LORA_R8_TTA_dlpips,LORA_R8_TTA_NOPROMPT_dpsnr,LORA_R8_TTA_NOPROMPT_dssim,LORA_R8_TTA_NOPROMPT_dlpips,TL_BARE_R2_dpsnr,TL_BARE_R2_dssim,TL_BARE_R2_dlpips,TL_TIED_R2_dpsnr,TL_TIED_R2_dssim,TL_TIED_R2_dlpips
panda_0010,"['The person is preparing food on a wooden table near a body of water.', 'Two men are sitting on a rocky terrain and eating food.', 'There are two people sitting on top of a large rocky outcropping overlooking a body of water with mountains in the background.']",261,47,0.606457,5.438858,0.231527,0.859214,5.400588,0.232978,0.868563,5.381189,0.235281,0.867974,5.409319,0.234161,0.860622,5.405196,0.235753,0.864006,5.413172,0.231969,0.858501,5.456471,0.231045,0.862888,-0.038270,0.001450,0.009349,-0.057669,0.003753,0.008759,-0.029539,0.002634,0.001408,-0.033661,0.004225,0.004791,-0.025686,0.000442,-0.000713,0.017613,-0.000482,0.003674
panda_0011,"['There is a white bowl filled with oatmeal and almonds on a table.', 'Person is stirring a cup of coffee with a spoon.', 'Person is stirring a mixture of meat and other ingredients in a pan with a spoon.']",206,39,0.797519,16.726488,0.612088,0.425046,17.209404,0.617822,0.405730,16.125668,0.622414,0.424813,16.383559,0.588703,0.438338,16.548412,0.609497,0.430164,16.716257,0.612937,0.427452,16.097356,0.616352,0.423124,0.482915,0.005734,-0.019316,-0.600820,0.010326,-0.000233,-0.342929,-0.023385,0.013292,-0.178076,-0.002591,0.005118,-0.010231,0.000849,0.002406,-0.629132,0.004264,-0.001922
panda_0012,"['A cartoon girl with a smile on her face.', 'A person is cooking food in a pot on a stove.', 'There is a bowl of soup on a table with bread sticks and cookies.']",162,34,0.219120,14.890850,0.891308,0.176646,16.617063,0.903961,0.156512,16.771275,0.904430,0.156047,15.026427,0.894129,0.174174,16.582347,0.903900,0.156882,15.003548,0.894091,0.174559,14.989328,0.894141,0.174487,1.726213,0.012653,-0.020133,1.880425,0.013122,-0.020599,0.135577,0.002821,-0.002472,1.691497,0.012592,-0.019764,0.112699,0.002783,-0.002087,0.098479,0.002834,-0.002159
panda_0013,"['There is a small spot on the ceiling of a bathroom caused by an accumulation of moisture due to insufficient ventilation.', 'There is moisture on the ceiling of a bathroom with no windows and ventilation fan not working.', 'There is moisture accumulating on an unventilated bathroom ceiling.']",295,47,0.103242,41.009976,0.935308,0.082817,44.874706,0.951515,0.009685,44.864966,0.951422,0.009763,41.266929,0.934915,0.081692,41.499447,0.938478,0.075973,41.216784,0.935786,0.085322,41.255912,0.934951,0.083950,3.864730,0.016207,-0.073132,3.854990,0.016114,-0.073054,0.256953,-0.000393,-0.001125,0.489472,0.003169,-0.006844,0.206808,0.000478,0.002505,0.245937,-0.000357,0.001133
panda_0014,"['It is a news broadcast with two people sitting at a desk, one of them is wearing a red dress and the other is wearing a suit.', ""A tv screen showing a news report about a children's day care bus."", ""A children's day care center with a mural on the side of the building.""]",273,54,2.292677,13.153685,0.625647,0.292356,12.793955,0.615979,0.315507,12.831864,0.617242,0.313546,13.119032,0.623243,0.294045,13.154118,0.624160,0.295133,13.179071,0.626258,0.292773,13.138946,0.624819,0.294957,-0.359730,-0.009668,0.023152,-0.321821,-0.008405,0.021190,-0.034653,-0.002404,0.001689,0.000433,-0.001487,0.002778,0.025385,0.000611,0.000418,-0.014740,-0.000828,0.002601
panda_0015,"['A black and white photo of a pile of dirt on the moon.', 'A view of the earth from space at night.', 'An aerial view of the international space station.']",156,30,0.149931,22.846034,0.876873,0.080879,22.949634,0.880665,0.077764,22.907869,0.877857,0.082440,22.790887,0.873168,0.090563,22.802711,0.873961,0.089274,22.803932,0.875936,0.083835,22.827228,0.876929,0.081267,0.103600,0.003792,-0.003115,0.061835,0.000984,0.001561,-0.055147,-0.003705,0.009684,-0.043324,-0.002913,0.008395,-0.042103,-0.000937,0.002956,-0.018806,0.000056,0.000388
panda_0016,"['There is a sign with information about the asia black bear restoration health project, which began in 2004, and it mentions that the bears are being reintroduced to their natural habitat on the korean peninsula.', 'A black bear is sitting in a field of grass next to rocks.', 'A statue of a bear on a wooden deck.']",317,57,0.050883,12.171947,0.549386,0.387327,12.170262,0.550446,0.387516,12.200944,0.549479,0.386616,12.227934,0.550980,0.386521,12.231644,0.550891,0.386546,12.164886,0.551541,0.386813,12.204870,0.550310,0.387152,-0.001684,0.001060,0.000189,0.028997,0.000093,-0.000711,0.055988,0.001594,-0.000806,0.059698,0.001504,-0.000782,-0.007061,0.002155,-0.000514,0.032923,0.000924,-0.000175
panda_0017,"['There is a black object on the ground, and it appears to be an electronic device.', 'There is a car parked in a garage with a blue light shining on it.', 'The smoke machine is turned on and the smoke is coming out.']",218,43,0.249847,22.832114,0.762556,0.108408,22.925818,0.771714,0.102184,22.178378,0.726017,0.208996,22.719634,0.761876,0.109914,22.751074,0.761863,0.109099,22.816568,0.762377,0.108901,22.790008,0.763188,0.105074,0.093704,0.009158,-0.006224,-0.653736,-0.036539,0.100588,-0.112480,-0.000680,0.001506,-0.081040,-0.000693,0.000691,-0.015546,-0.000179,0.000493,-0.042106,0.000632,-0.003335
panda_0018,"['A man is sitting in a car and ordering food from a drive-through window.', 'A glass mug with a cartoon character on it.', 'A bald man leaning over a laptop in front of a plate.']",180,35,0.114232,20.785789,0.844166,0.057168,22.268176,0.871633,0.045939,22.079418,0.868371,0.046589,20.879195,0.832948,0.086851,20.692155,0.830886,0.090666,20.965294,0.849115,0.056319,20.848284,0.846799,0.059863,1.482386,0.027468,-0.011229,1.293628,0.024206,-0.010579,0.093405,-0.011218,0.029684,-0.093634,-0.013280,0.033498,0.179505,0.004949,-0.000849,0.062494,0.002633,0.002695
panda_0019,"['A car with a colorful paint job parked in a parking lot.', 'Two men are driving a car and wearing virtual reality goggles.', 'A poster that says support our 2020 sponsors.']",175,31,0.198149,25.184945,0.890468,0.080456,25.195038,0.890774,0.080291,25.213159,0.890915,0.080044,25.180197,0.890015,0.080620,25.190318,0.890199,0.080612,25.183245,0.890564,0.080393,25.186129,0.890437,0.080466,0.010094,0.000306,-0.000166,0.028214,0.000447,-0.000412,-0.004747,-0.000453,0.000164,0.005374,-0.000269,0.000156,-0.001700,0.000096,-0.000064,0.001185,-0.000031,0.000010
panda_0020,"['A close up of a flashlight in a box.', 'A piece of salmon is being fried in a pan.', 'A piece of salmon is being cooked in a frying pan with chopsticks.']",156,32,0.116716,9.947977,0.721521,0.571300,10.378741,0.731153,0.541336,10.293126,0.739221,0.509205,9.767486,0.715310,0.585943,9.966442,0.720289,0.577345,9.984802,0.719649,0.563583,9.941341,0.719836,0.563352,0.430765,0.009632,-0.029963,0.345150,0.017700,-0.062095,-0.180491,-0.006211,0.014643,0.018465,-0.001232,0.006045,0.036825,-0.001872,-0.007717,-0.006636,-0.001685,-0.007948
panda_0021,"['A comic book cover featuring a group of superheroes.', 'A young man is cooking in the kitchen and adding ingredients to a pot on the stove.', 'A man in a kitchen preparing food on a plate.']",192,36,0.132313,10.088979,0.465061,0.507917,10.250177,0.468020,0.492691,10.319052,0.461207,0.502599,10.168921,0.471418,0.503569,10.142632,0.467396,0.507907,10.166201,0.472301,0.506793,10.148724,0.470363,0.503359,0.161197,0.002960,-0.015226,0.230073,-0.003854,-0.005319,0.079941,0.006358,-0.004348,0.053653,0.002335,-0.000010,0.077222,0.007241,-0.001125,0.059745,0.005302,-0.004558
panda_0022,"['A man is standing on a bridge on a tv.', 'The person is standing on a balcony with a view of a mountain and some buildings in the background.', 'It is a scenic view of a mountain village with green trees and houses on the hillside.']",235,46,4.603968,8.056629,0.292937,0.737407,8.002368,0.280590,0.734835,7.892062,0.277200,0.722229,8.077601,0.293186,0.741205,8.035117,0.291267,0.737324,8.044018,0.294718,0.739042,8.037412,0.292244,0.737409,-0.054261,-0.012347,-0.002572,-0.164567,-0.015737,-0.015178,0.020972,0.000249,0.003798,-0.021512,-0.001670,-0.000083,-0.012611,0.001781,0.001635,-0.019217,-0.000693,0.000002
panda_0023,"['There is a group of people playing musical instruments in front of a purple curtain.', 'Two people looking at sheet music in front of a piano.', 'A group of people are standing in front of a piano, and some of them are holding certificates.']",244,44,1.409740,8.880845,0.274184,0.756199,8.854683,0.276340,0.772726,8.850166,0.270413,0.767456,8.829832,0.270328,0.758887,8.850112,0.268953,0.765033,8.952541,0.276023,0.755682,8.969448,0.276589,0.758986,-0.026163,0.002156,0.016527,-0.030679,-0.003771,0.011257,-0.051013,-0.003856,0.002688,-0.030733,-0.005231,0.008835,0.071696,0.001839,-0.000517,0.088602,0.002405,0.002788
panda_0024,"['A sheet of paper with a list of words on it.', 'Two chefs are preparing a dish in a kitchen.', 'A couple of chefs preparing food on a table.']",144,29,0.503925,19.194899,0.860175,0.128787,19.330680,0.858545,0.129555,19.211347,0.858838,0.128728,19.132074,0.859234,0.131203,19.116058,0.858897,0.131603,19.164798,0.859709,0.130349,19.197784,0.861033,0.128936,0.135782,-0.001629,0.000768,0.016448,-0.001337,-0.000059,-0.062824,-0.000940,0.002416,-0.078840,-0.001278,0.002816,-0.030100,-0.000466,0.001561,0.002885,0.000858,0.000149
panda_0025,"['A computer screen showing various items in a minecraft game.', 'It is a screenshot of a game with icons.', 'A computer screen with a message on it.']",151,27,0.770015,15.875885,0.264170,0.805683,13.907612,0.207495,0.879996,14.076045,0.221852,0.878963,15.214237,0.226807,0.805679,15.166593,0.225371,0.805701,15.826698,0.261003,0.804923,15.705921,0.256896,0.805288,-1.968273,-0.056675,0.074313,-1.799839,-0.042318,0.073280,-0.661648,-0.037363,-0.000004,-0.709292,-0.038798,0.000018,-0.049186,-0.003166,-0.000760,-0.169964,-0.007274,-0.000395
panda_0026,"['A female soccer player kicks the ball during a game.', 'A man and a woman are hugging each other at an event.', 'A woman is standing on a stage with an award in her hand. she is wearing a pink dress and has a microphone in her hand.']",236,48,3.536518,9.412634,0.374067,0.624769,9.415444,0.370774,0.630737,9.351593,0.365747,0.597455,9.412487,0.370696,0.627982,9.394060,0.370413,0.627419,9.369589,0.373657,0.624716,9.394820,0.375393,0.625846,0.002810,-0.003292,0.005968,-0.061041,-0.008320,-0.027314,-0.000147,-0.003370,0.003213,-0.018574,-0.003653,0.002650,-0.043045,-0.000409,-0.000053,-0.017813,0.001327,0.001077
panda_0027,"['Two men are standing in a field, one of them is holding a pineapple and the other is holding a knife.', 'Two young men are sitting in the back of a pickup truck with pineapples in the foreground.', 'A young man is playing soccer on an outdoor field and the camera follows him as he moves around the field.']",309,59,8.693725,13.841219,0.533754,0.362487,13.859354,0.533979,0.361924,13.736248,0.532696,0.368169,13.851652,0.533765,0.362150,13.847972,0.533703,0.362689,13.881996,0.534508,0.360556,13.845089,0.533549,0.362315,0.018135,0.000225,-0.000563,-0.104971,-0.001058,0.005682,0.010433,0.000010,-0.000337,0.006753,-0.000051,0.000202,0.040778,0.000754,-0.001931,0.003870,-0.000205,-0.000172
panda_0028,"['A pink sculpture of a cat on a television screen.', 'A close up of a white object with a blue background.', 'A sign on a wall with a fish on it.']",148,31,8.629704,8.645882,0.349493,0.676782,8.682706,0.350127,0.675097,8.666952,0.348743,0.676653,8.593062,0.349062,0.670649,8.562597,0.349394,0.673259,8.654011,0.351463,0.676076,8.729264,0.352588,0.670434,0.036824,0.000634,-0.001684,0.021070,-0.000750,-0.000129,-0.052820,-0.000431,-0.006132,-0.083285,-0.000099,-0.003523,0.008129,0.001970,-0.000705,0.083383,0.003094,-0.006347
panda_0029,"['A person is cooking food in a pot of water.', 'A black pot with a lid on a stove is cooking food with carrots and other vegetables.', 'A person is cooking chicken in the kitchen.']",182,35,0.125062,23.644368,0.905339,0.062922,23.667640,0.904920,0.063590,23.689665,0.904824,0.063529,23.636821,0.905196,0.062994,23.688629,0.905001,0.063287,23.643800,0.905658,0.062841,23.629046,0.905303,0.063098,0.023272,-0.000419,0.000668,0.045297,-0.000515,0.000607,-0.007547,-0.000143,0.000072,0.044261,-0.000338,0.000365,-0.000568,0.000319,-0.000081,-0.015322,-0.000036,0.000176
panda_0030,"['A close up of the dashboard of a car.', 'Two men are standing in a parking lot, one is holding a piece of paper and the other is smiling.', 'The dashboard of a sports car with three gauges.']",193,38,0.517368,18.536083,0.756207,0.157886,19.114743,0.759522,0.141384,18.563963,0.761299,0.154169,18.439866,0.756300,0.157506,18.395541,0.756335,0.158516,19.003390,0.754054,0.146349,18.409039,0.752492,0.162134,0.578660,0.003315,-0.016503,0.027880,0.005093,-0.003718,-0.096217,0.000094,-0.000381,-0.140542,0.000129,0.000629,0.467306,-0.002153,-0.011537,-0.127044,-0.003714,0.004247
panda_0031,"['A view of a train track next to a fence.', 'A blue and silver passenger train on the tracks.', 'A train is on a train track with cars on the tracks and a building in the background.']",185,37,0.155077,16.023907,0.533911,0.383323,15.347153,0.536237,0.389157,14.937159,0.543161,0.379229,16.642256,0.537312,0.390557,16.441173,0.519882,0.400385,16.989282,0.542916,0.386457,16.648457,0.535002,0.388342,-0.676755,0.002327,0.005834,-1.086748,0.009250,-0.004094,0.618349,0.003401,0.007234,0.417266,-0.014029,0.017062,0.965375,0.009005,0.003134,0.624550,0.001091,0.005019
panda_0032,"['A close up of a black device on a table.', 'A close up of an electronic device on a table.', 'An electronic device that has multiple ports on it.']",149,29,6.131453,20.703474,0.829217,0.130537,20.687418,0.828521,0.130700,20.724822,0.829281,0.130076,20.670323,0.828451,0.131417,20.683601,0.829222,0.131140,20.689673,0.829338,0.130722,20.688438,0.829122,0.131140,-0.016057,-0.000697,0.000162,0.021348,0.000064,-0.000461,-0.033151,-0.000766,0.000880,-0.019874,0.000004,0.000602,-0.013801,0.000121,0.000184,-0.015036,-0.000095,0.000603
panda_0033,"['A herd of elephants is standing next to a baby elephant at a watering hole.', 'A close up of a cicada on a tree branch.', 'Four humpback whales swimming in the ocean.']",170,32,0.143923,11.897408,0.359394,0.765414,11.846907,0.334267,0.780336,11.863262,0.338519,0.785210,11.857741,0.350724,0.772596,11.895829,0.352420,0.768364,11.867572,0.359240,0.763119,11.878737,0.358901,0.761532,-0.050501,-0.025127,0.014922,-0.034146,-0.020876,0.019796,-0.039667,-0.008670,0.007182,-0.001579,-0.006974,0.002951,-0.029837,-0.000154,-0.002295,-0.018671,-0.000493,-0.003881
panda_0034,"['A poster that says u s high school stats.', 'A graph showing the percentage of pre-marital births in the united states.', 'A piece of paper with yellow text on it.']",167,30,0.466339,38.605318,0.969809,0.001656,38.674573,0.966186,0.001676,38.648700,0.965357,0.001677,38.584189,0.962498,0.001678,38.618775,0.962686,0.001683,38.603416,0.969919,0.001657,38.619007,0.969866,0.001669,0.069254,-0.003623,0.000020,0.043382,-0.004451,0.000021,-0.021129,-0.007311,0.000022,0.013456,-0.007123,0.000027,-0.001903,0.000110,0.000001,0.013689,0.000057,0.000014
panda_0035,"['Two cars on a road with the words this vs that.', 'A close up of the engine of a vehicle.', 'A man is driving a car on a road, and there are orange cones on the side of the road.']",182,40,1.902415,11.400969,0.350688,0.700990,11.315750,0.368815,0.691785,11.437164,0.357003,0.695680,11.347175,0.344418,0.703424,11.344186,0.344492,0.702501,11.504523,0.354410,0.695810,11.513232,0.351517,0.699953,-0.085219,0.018127,-0.009206,0.036195,0.006315,-0.005310,-0.053794,-0.006270,0.002433,-0.056783,-0.006195,0.001511,0.103554,0.003722,-0.005181,0.112263,0.000829,-0.001038
panda_0036,"['A sign made of wood with a map on it.', 'A piece of wood with a map of santa fe on it.', 'A piece of wood on a wall with a tag on it.']",137,34,3.448526,21.390590,0.834281,0.077728,21.456053,0.837785,0.076299,21.483614,0.839644,0.074726,21.391321,0.833212,0.078289,21.399799,0.833215,0.078294,21.387518,0.833335,0.078065,21.479378,0.840020,0.074645,0.065463,0.003504,-0.001429,0.093024,0.005362,-0.003002,0.000731,-0.001069,0.000561,0.009209,-0.001066,0.000566,-0.003072,-0.000946,0.000337,0.088788,0.005739,-0.003083
panda_0037,"['A tv news report with a picture of a deer.', 'A close up of an orange van on the news.', 'A white-tailed deer is standing on a grassy area near a parking lot.']",162,33,0.972665,13.672942,0.570190,0.338650,13.643560,0.569259,0.339056,13.680552,0.569447,0.336902,13.688955,0.570300,0.337314,13.692132,0.570679,0.337723,13.689817,0.569366,0.338490,13.687370,0.569392,0.336960,-0.029382,-0.000931,0.000406,0.007610,-0.000743,-0.001747,0.016012,0.000110,-0.001336,0.019189,0.000489,-0.000927,0.016874,-0.000824,-0.000160,0.014428,-0.000798,-0.001690
panda_0038,"['A maroon dodge ram truck driving down the road.', 'A person is riding a motorcycle on a busy city street at night, with cars and other vehicles passing by.', 'A man in a helmet is riding a motorcycle down a street.']",218,41,0.162666,17.486695,0.695633,0.338964,18.099906,0.713796,0.308018,18.431027,0.720792,0.300815,17.065485,0.667028,0.363601,16.908428,0.663903,0.370106,17.484195,0.694941,0.338347,17.585599,0.698345,0.329516,0.613211,0.018163,-0.030947,0.944332,0.025159,-0.038149,-0.421210,-0.028605,0.024637,-0.578267,-0.031730,0.031142,-0.002500,-0.000692,-0.000618,0.098904,0.002712,-0.009449
panda_0039,"['A man is sitting in front of a microphone and talking to the interviewer.', 'A woman talking to the camera at an event.', 'A man in a blue shirt talking to a microphone.']",173,33,8.970251,5.560344,0.235117,0.820469,5.510130,0.231787,0.826716,6.426783,0.322946,0.817670,5.466849,0.230381,0.833931,5.423669,0.231016,0.825555,5.487098,0.233897,0.816865,5.514596,0.229063,0.817642,-0.050214,-0.003330,0.006247,0.866439,0.087829,-0.002798,-0.093496,-0.004736,0.013463,-0.136675,-0.004101,0.005087,-0.073247,-0.001220,-0.003604,-0.045748,-0.006054,-0.002826
panda_0040,"['A person is holding a stainless steel dough hook and talking about its quality.', 'A woman is using a hand mixer with five speed settings and can switch between them easily.', 'A person mixing something in a bowl with a mixer.']",230,41,2.297304,8.626261,0.673629,0.651577,8.658115,0.629169,0.644015,8.193266,0.609101,0.667503,8.525145,0.649061,0.649659,8.402538,0.642817,0.658034,8.548986,0.659273,0.647349,8.364222,0.644700,0.651652,0.031854,-0.044461,-0.007562,-0.432995,-0.064528,0.015926,-0.101116,-0.024569,-0.001917,-0.223723,-0.030812,0.006457,-0.077275,-0.014356,-0.004227,-0.262039,-0.028929,0.000076
panda_0041,"['There is an offshore oil platform in the middle of a large body of water. the sky is cloudy, and there are boats in the water.', 'A close up of a red substance on the ground.', 'The audible logo on a white background.']",221,43,1.145863,11.134148,0.712691,0.385485,10.633144,0.681247,0.413088,10.619929,0.684830,0.407483,10.846738,0.709444,0.386023,10.855818,0.709586,0.384180,10.877042,0.710036,0.385011,11.207208,0.715326,0.387923,-0.501004,-0.031444,0.027603,-0.514219,-0.027861,0.021998,-0.287409,-0.003247,0.000538,-0.278330,-0.003105,-0.001305,-0.257106,-0.002655,-0.000474,0.073060,0.002635,0.002438
panda_0042,"['A man in a white shirt and glasses stands in front of a city and a river.', 'Two men standing near the wreckage of a plane.', 'A man standing in tall grass next to a crashed plane.']",184,37,0.486823,23.444930,0.793920,0.051040,22.440060,0.758182,0.074586,22.622684,0.763030,0.071875,23.394555,0.792850,0.051455,23.245632,0.789093,0.053847,23.349764,0.791583,0.052108,23.406301,0.793045,0.051402,-1.004871,-0.035738,0.023546,-0.822247,-0.030890,0.020835,-0.050376,-0.001071,0.000415,-0.199298,-0.004827,0.002807,-0.095166,-0.002337,0.001068,-0.038629,-0.000875,0.000362
panda_0043,"['A video game with a green robot in the middle of a city.', 'A computer generated image of a desk and a fire.', 'A video game character is laying on the ground.']",163,32,0.095359,13.132470,0.386520,0.664551,13.138138,0.386224,0.665524,13.138283,0.386322,0.665252,13.141160,0.387212,0.664294,13.138908,0.387141,0.664264,13.133727,0.386594,0.664673,13.132031,0.386508,0.664570,0.005668,-0.000296,0.000973,0.005814,-0.000198,0.000700,0.008690,0.000692,-0.000257,0.006439,0.000621,-0.000288,0.001257,0.000074,0.000122,-0.000439,-0.000012,0.000019
